id_discente,sexo,semestre_letivo,media_final,numero_faltas,cod_disciplina,disciplina,ch_total,descricao
"268,821",M,20152,8.8,0,"3,828",LINGUAGEM PROGRAMACAO I,60,APROVADO
"112,169",M,20092,8.1,0,"2,698",LOGICA APLICADA A COMPUTACAO,60,APROVADO
"262,777",M,20162,null,0,"21,875",FISICA EXPERIMENTAL PARA COMPUTAÇÃO,30,MATRICULADO
"150,791",M,20112,2.7,0,"4,250",CALCULO VET GEO ANALITICA,60,REPROVADO
"185,756",F,20142,8.5,0,"3,516",COMPUTADORES E SOCIEDADE,30,APROVADO
"154,541",M,20112,7.2,0,"2,704",PESQUISA APLICADA A COMPUTACAO,45,APROVADO
"170,581",M,20141,8.5,0,"3,504",ARQUITETURA DE COMPUTADORES I,60,APROVADO
"108,181",F,20082,0,0,"1,639",CALCULO DIFERENCIAL E INTEGRAL II,60,REP. FALTA
"107,098",F,20072,null,0,"2,690",INTRODUCAO A MICROELETRONICA,60,TRANCADO
"176,991",M,20131,5.1,0,"3,828",LINGUAGEM PROGRAMACAO I,60,APROVADO
"185,024",M,20152,0,75,"4,372",LINGUA INGLESA I,75,REP. FALTA
"190,431",F,20162,null,null,"7,034",FISICA APLICADA A COMPUTACAO I,60,TRANCADO
"188,972",F,20132,9,0,"2,699",METODOLOGIA DO TRABALHO CIENTIFICO,45,APROVADO
"129,049",M,20142,9.6,0,"2,693",INTRODUCAO A TEORIA DA INFORMACAO,60,APROVADO
"249,753",M,20161,7,0,"18,968",SOFTWARE PARA SISTEMAS EMBARCADOS,60,APROVADO
"132,953",M,20141,5.1,0,"1,639",CALCULO DIFERENCIAL E INTEGRAL II,60,APROVADO
"190,431",F,20132,0.6,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,REPROVADO
"111,432",M,20081,0,0,"4,285",MATEMATICA ELEMENTAR  I,60,REP. FALTA
"187,059",M,20141,3.3,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,REPROVADO
"107,378",M,20112,9.5,0,995,SISTEMA DE INFORMACAO E DECISAO,60,DISPENSADO
"123,993",M,20131,0,0,"2,710",TEORIA DA COMPUTACAO,60,REP. FALTA
"108,185",M,20091,0,0,"4,250",CALCULO VET GEO ANALITICA,60,REP. FALTA
"268,821",M,20162,null,null,"3,829",LINGUAGEM PROGRAMACAO II,60,INDEFERIDO
"254,675",F,20141,null,0,"9,265",INTROD À ENGENHARIA DE COMPUTAÇÃO,60,EXCLUIDA
"132,208",M,20122,0,0,"3,817",INTRODUCAO A PROGRAMACAO,60,REP. FALTA
"154,948",M,20131,0.83,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,REPROVADO
"181,419",M,20132,0,0,"3,828",LINGUAGEM PROGRAMACAO I,60,REP. FALTA
"125,263",M,20121,8.6,0,"2,704",PESQUISA APLICADA A COMPUTACAO,45,APROVADO
"185,643",M,20151,9,0,"3,505",ARQUITETURA DE COMPUTADORES II,60,APROVADO
"151,032",M,20111,3.6,0,"4,250",CALCULO VET GEO ANALITICA,60,REPROVADO
"287,951",M,20162,null,0,"17,740",CÁLCULO  DAS PROBABILIDADES I,60,MATRICULADO
"189,788",M,20142,7,0,"4,250",CALCULO VET GEO ANALITICA,60,APROVADO
"271,009",M,20152,7.7,0,"2,699",METODOLOGIA DO TRABALHO CIENTIFICO,45,APROVADO
"270,367",F,20152,8,0,"3,817",INTRODUCAO A PROGRAMACAO,60,APROVADO
"176,990",M,20122,0,0,"1,561",CALCULO DAS PROBABILIDADES I,60,REP. FALTA
"269,545",F,20152,9.3,2,"2,699",METODOLOGIA DO TRABALHO CIENTIFICO,45,APROVADO
"174,372",M,20141,8.5,0,"2,702",ORDENACAO E RECUPERACAO DE DADOS,60,APROVADO
"112,176",M,20081,7,0,"3,817",INTRODUCAO A PROGRAMACAO,60,APROVADO
"171,500",M,20122,8.1,0,"9,265",INTROD À ENGENHARIA DE COMPUTAÇÃO,60,APROVADO
"171,516",M,20162,null,0,"21,873",MATERIAIS PARA MICRO E NANO TECNOLOGIA,60,MATRICULADO
"285,761",M,20162,null,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,MATRICULADO
"128,991",M,20132,8.2,0,"1,640",INTRODUCAO A ALGEBRA LINEAR,60,APROVADO
"171,516",M,20161,7,10,"3,817",INTRODUCAO A PROGRAMACAO,60,APROVADO
"174,072",M,20141,1.9,0,"17,740",CÁLCULO  DAS PROBABILIDADES I,60,REPROVADO
"258,201",M,20142,7,0,"1,639",CALCULO DIFERENCIAL E INTEGRAL II,60,APROVADO
"283,344",M,20162,null,2,"3,817",INTRODUCAO A PROGRAMACAO,60,MATRICULADO
"134,246",M,20152,10,0,"4,372",LINGUA INGLESA I,75,APROVADO
"271,587",M,20161,0,20,"3,817",INTRODUCAO A PROGRAMACAO,60,REP. FALTA
"119,831",M,20101,5.8,0,"3,828",LINGUAGEM PROGRAMACAO I,60,APROVADO
"154,694",M,20142,0,0,"3,829",LINGUAGEM PROGRAMACAO II,60,REP. FALTA
"129,379",M,20142,7,0,"2,703",PARADIGMAS DE LING DE PROGRAMAÇÃO,60,DISPENSADO
"114,158",M,20092,9,0,"3,504",ARQUITETURA DE COMPUTADORES I,60,APROVADO
"171,498",M,20132,8.7,0,"17,076",ELETRONICA APLICADA,90,APROVADO
"129,709",M,20132,7.8,0,"1,871",INTRODUCAO A TEORIA DE GRAFOS,60,APROVADO
"175,578",M,20161,null,null,"1,641",SERIES E EQUACOES DIF ORDINARIAS,60,INDEFERIDO
"265,762",M,20161,7,0,"3,829",LINGUAGEM PROGRAMACAO II,60,APROVADO
"149,390",M,20111,7,0,"7,036",CALCULO DIF  E INTEGRAL III,60,DISPENSADO
"271,587",M,20152,3.1,0,"4,250",CALCULO VET GEO ANALITICA,60,REPROVADO
"154,545",M,20121,7,0,"7,035",FISICA APLICADA A COMPUTACAO II,60,APROVADO
"271,756",M,20162,null,null,"2,699",METODOLOGIA DO TRABALHO CIENTIFICO,45,MATRICULADO
"133,781",M,20141,9.8,0,"2,709",SISTEMAS MULTIMIDIA,60,APROVADO
"151,035",M,20111,7.5,0,"9,265",INTROD À ENGENHARIA DE COMPUTAÇÃO,60,APROVADO
"176,219",M,20131,2.8,0,"3,828",LINGUAGEM PROGRAMACAO I,60,REPROVADO
"258,903",M,20141,0,0,"3,817",INTRODUCAO A PROGRAMACAO,60,REP. FALTA
"265,766",M,20161,7,0,995,SISTEMA DE INFORMACAO E DECISAO,60,APROVADO
"275,107",M,20151,0.3,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,REPROVADO
"171,649",M,20161,8.2,0,"17,823",AGENTES INTELIGENTES,60,APROVADO
"250,836",M,20132,8.7,0,"9,265",INTROD À ENGENHARIA DE COMPUTAÇÃO,60,EXCLUIDA
"173,215",M,20121,7,0,"2,698",LOGICA APLICADA A COMPUTACAO,60,APROVADO
"111,438",F,20091,2.6,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,REPROVADO
"280,599",M,20161,6.8,0,"4,250",CALCULO VET GEO ANALITICA,60,APROVADO
"274,276",M,20161,null,null,"4,250",CALCULO VET GEO ANALITICA,60,INDEFERIDO
"170,366",M,20131,3.9,0,"2,688",IINTRODUÇÃO A COMPUTAÇÃO GRÁFICA,60,REPROVADO
"258,205",M,20162,null,null,"3,505",ARQUITETURA DE COMPUTADORES II,60,EXCLUIDA
"268,646",M,20162,null,null,"4,372",LINGUA INGLESA I,75,MATRICULADO
"111,711",M,20091,5,0,"1,640",INTRODUCAO A ALGEBRA LINEAR,60,APROVADO
"269,618",M,20162,null,null,"3,829",LINGUAGEM PROGRAMACAO II,60,MATRICULADO
"111,771",M,20091,8.3,0,"2,698",LOGICA APLICADA A COMPUTACAO,60,APROVADO
"275,108",M,20161,5.6,0,"4,250",CALCULO VET GEO ANALITICA,60,APROVADO
"279,209",M,20161,1.1,0,"4,250",CALCULO VET GEO ANALITICA,60,REPROVADO
"271,709",M,20161,7,0,"1,641",SERIES E EQUACOES DIF ORDINARIAS,60,APROVADO
"279,881",M,20162,null,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,MATRICULADO
"171,644",M,20151,10,0,"20,139",MÉTODOS MATEMÁTICOS AVANÇADOS I,60,APROVADO
"279,929",M,20162,null,null,"1,640",INTRODUCAO A ALGEBRA LINEAR,60,INDEFERIDO
"274,279",M,20152,6.2,0,"7,228",INTRODUÇÃO À COMPUTAÇÃO CIENTÍFICA,60,APROVADO
"129,707",M,20111,7.1,0,954,ADM DE EMPRESAS,75,APROVADO
"154,890",F,20122,7.8,0,"4,555",CALCULO NUMERICO,60,APROVADO
"150,147",M,20122,0.6,0,"7,035",FISICA APLICADA A COMPUTACAO II,60,REPROVADO
"269,803",F,20151,0,0,"3,817",INTRODUCAO A PROGRAMACAO,60,REPROVADO
"187,059",M,20142,0,0,"2,698",LOGICA APLICADA A COMPUTACAO,60,REP. FALTA
"261,118",M,20142,0.6,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,REPROVADO
"150,377",M,20132,2.6,0,"1,639",CALCULO DIFERENCIAL E INTEGRAL II,60,REPROVADO
"250,834",F,20132,null,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,EXCLUIDA
"185,645",F,20141,8.33,0,"2,704",PESQUISA APLICADA A COMPUTACAO,45,APROVADO
"174,722",M,20152,null,null,"1,639",CALCULO DIFERENCIAL E INTEGRAL II,60,INDEFERIDO
"271,758",M,20161,7.8,0,"3,828",LINGUAGEM PROGRAMACAO I,60,APROVADO
"148,678",M,20121,0,0,"3,922",INTRODUCAO A FILOSOFIA,60,REP. FALTA
"262,779",F,20162,null,0,"2,689",INTRODUCAO A INTELIGENCIA ARTIFICIAL,60,MATRICULADO
"109,118",M,20071,null,0,"3,818",INTRODUCAO AO COMPUTADOR,60,TRANCADO
"169,176",M,20142,null,0,"1,641",SERIES E EQUACOES DIF ORDINARIAS,60,EXCLUIDA
"268,630",M,20162,null,null,"1,663",ESPECIFICACAO DE REQUISITOS DE SOFTWARE,60,MATRICULADO
"169,804",M,20142,null,0,"7,036",CALCULO DIF  E INTEGRAL III,60,TRANCADO
"109,274",M,20111,0,0,"2,697",LINGUAGENS FORMAIS E AUTOMATOS,60,REP. FALTA
"119,559",M,20112,8,0,"3,505",ARQUITETURA DE COMPUTADORES II,60,APROVADO
"254,280",M,20152,9.5,0,"3,516",COMPUTADORES E SOCIEDADE,30,APROVADO
"150,144",F,20162,null,null,"20,494",ESTÁGIO SUPERVISIONADO,300,MATRICULADO
"275,235",M,20152,9,0,"4,250",CALCULO VET GEO ANALITICA,60,APROVADO
"175,542",M,20161,null,null,"2,689",INTRODUCAO A INTELIGENCIA ARTIFICIAL,60,DESISTENCIA
"271,708",F,20151,9.2,0,"4,323",PORTUGUES INSTRUMENTAL,60,DISPENSADO
"260,923",M,20142,0,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,REP. FALTA
"185,645",F,20151,8.6,0,"1,663",ESPECIFICACAO DE REQUISITOS DE SOFTWARE,60,APROVADO
"175,924",M,20152,null,null,"3,899",ECONOMIA I,60,INDEFERIDO
"173,782",M,20152,3.1,36,"2,688",IINTRODUÇÃO A COMPUTAÇÃO GRÁFICA,60,REP. FALTA
"155,294",M,20122,0,0,"1,561",CALCULO DAS PROBABILIDADES I,60,REP. FALTA
"182,065",M,20132,7.7,0,"3,899",ECONOMIA I,60,DISPENSADO
"249,753",M,20141,7.7,0,"3,829",LINGUAGEM PROGRAMACAO II,60,APROVADO
"288,674",M,20161,6.6,0,"7,036",CALCULO DIF  E INTEGRAL III,60,DISPENSADO
"184,375",M,20141,6,0,"3,504",ARQUITETURA DE COMPUTADORES I,60,APROVADO
"253,167",F,20132,5,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,DISPENSADO
"250,346",M,20152,2.7,0,"1,641",SERIES E EQUACOES DIF ORDINARIAS,60,REPROVADO
"151,031",M,20161,null,null,"19,604",ROBÓTICA COGNITIVA,60,TRANCADO
"147,205",M,20121,null,0,"2,706",REDES DE COMPUTADORES II,60,TRANCADO
"268,816",M,20162,null,0,"3,851",TOPICOS ESPEC EM COMPUTACAO,60,MATRICULADO
"265,230",M,20151,0,20,"2,698",LOGICA APLICADA A COMPUTACAO,60,REP. FALTA
"176,222",M,20121,0,0,"4,250",CALCULO VET GEO ANALITICA,60,REP. FALTA
"154,462",F,20122,3.2,0,"3,829",LINGUAGEM PROGRAMACAO II,60,REPROVADO
"258,198",F,20142,8.3,0,"4,323",PORTUGUES INSTRUMENTAL,60,DISPENSADO
"176,220",M,20151,2.7,15,"2,705",REDES DE COMPUTADORES I,60,REPROVADO
"150,602",F,20161,8.5,12,"17,973",ALGEBRA LINEAR COMPUTACIONAL,60,APROVADO
"182,304",M,20162,null,null,"7,338",ADMINISTRACAO DE SISTEMAS DE INFORMACAO,60,MATRICULADO
"267,084",M,20151,0,15,"2,699",METODOLOGIA DO TRABALHO CIENTIFICO,45,REP. FALTA
"119,828",M,20132,8,0,"2,713",TOP ESPECIAIS EM ENG DE SOFTWARE,60,APROVADO
"265,764",M,20152,0.1,0,"2,710",TEORIA DA COMPUTACAO,60,REPROVADO
"258,897",M,20152,7.9,4,"2,688",IINTRODUÇÃO A COMPUTAÇÃO GRÁFICA,60,APROVADO
"269,889",F,20162,null,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,TRANCADO
"129,436",M,20121,9.3,0,"7,036",CALCULO DIF  E INTEGRAL III,60,APROVADO
"154,947",M,20141,7.2,0,"2,689",INTRODUCAO A INTELIGENCIA ARTIFICIAL,60,APROVADO
"129,714",M,20101,3,0,"3,818",INTRODUCAO AO COMPUTADOR,60,REPROVADO
"288,737",M,20162,null,null,"4,705",INTRODUCAO A PSICOLOGIA,60,INDEFERIDO
"150,147",M,20141,6.4,0,"3,829",LINGUAGEM PROGRAMACAO II,60,APROVADO
"135,331",M,20121,8.1,0,"1,656",ANALISE E PROJETO DE ALGORITMOS,60,APROVADO
"171,512",M,20141,10,0,"16,952",TÓPICOS ESPEM ENG DE COMPUTAÇÃOIII,60,APROVADO
"175,831",M,20121,0.5,0,"7,228",INTRODUÇÃO À COMPUTAÇÃO CIENTÍFICA,60,REPROVADO
"268,814",M,20162,null,null,"2,697",LINGUAGENS FORMAIS E AUTOMATOS,60,MATRICULADO
"176,395",M,20131,6.34,0,"2,690",INTRODUCAO A MICROELETRONICA,60,APROVADO
"109,430",M,20091,7.2,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,APROVADO
"124,312",M,20111,0.7,0,"1,639",CALCULO DIFERENCIAL E INTEGRAL II,60,REPROVADO
"150,791",M,20112,7,0,"9,265",INTROD À ENGENHARIA DE COMPUTAÇÃO,60,APROVADO
"153,781",F,20142,4.85,0,"2,693",INTRODUCAO A TEORIA DA INFORMACAO,60,REPROVADO
"173,213",M,20142,7,0,"1,641",SERIES E EQUACOES DIF ORDINARIAS,60,APROVADO
"174,199",M,20142,6.7,0,"1,663",ESPECIFICACAO DE REQUISITOS DE SOFTWARE,60,APROVADO
"150,147",M,20152,7.1,0,"2,703",PARADIGMAS DE LING DE PROGRAMAÇÃO,60,APROVADO
"190,231",F,20141,9.4,0,"3,828",LINGUAGEM PROGRAMACAO I,60,APROVADO
"186,434",F,20131,2.8,0,"3,817",INTRODUCAO A PROGRAMACAO,60,REPROVADO
"254,386",M,20161,9.7,0,"1,656",ANALISE E PROJETO DE ALGORITMOS,60,APROVADO
"184,545",M,20161,null,null,"9,717",QUIMICA BASICA  EXPERIMENTAL,60,INDEFERIDO
"288,631",M,20162,null,null,"6,208",SERIES E EQUACOES DIFER ORDINARIAS,60,EXCLUIDA
"181,426",M,20142,8,0,"3,504",ARQUITETURA DE COMPUTADORES I,60,APROVADO
"149,652",F,20122,8.5,0,"3,504",ARQUITETURA DE COMPUTADORES I,60,APROVADO
"189,953",F,20132,7.3,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,APROVADO
"175,543",F,20131,null,0,"2,698",LOGICA APLICADA A COMPUTACAO,60,TRANCADO
"189,783",M,20141,6.8,0,"1,640",INTRODUCAO A ALGEBRA LINEAR,60,APROVADO
"150,372",F,20131,9.5,0,"3,504",ARQUITETURA DE COMPUTADORES I,60,APROVADO
"276,815",M,20152,0,30,"4,250",CALCULO VET GEO ANALITICA,60,REP. FALTA
"273,864",M,20151,6.4,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,DISPENSADO
"271,710",F,20162,null,0,"21,868",CIRCUITOS LOGICOS I,60,MATRICULADO
"286,227",M,20162,null,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,MATRICULADO
"150,796",M,20132,0,0,"1,640",INTRODUCAO A ALGEBRA LINEAR,60,REP. FALTA
"271,708",F,20151,4.5,0,"18,966",MICROCONTROLADORES,60,REPROVADO
"250,062",M,20132,0,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,REP. FALTA
"254,244",M,20152,10,0,"4,372",LINGUA INGLESA I,75,APROVADO
"185,027",M,20132,0,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,REP. FALTA
"183,505",M,20151,1.5,0,"1,661",CIRCUITOS LOGICOS,90,REPROVADO
"173,215",M,20152,8.7,2,"2,699",METODOLOGIA DO TRABALHO CIENTIFICO,45,APROVADO
"178,694",M,20122,8.3,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,APROVADO
"191,561",F,20132,0,0,"3,817",INTRODUCAO A PROGRAMACAO,60,REP. FALTA
"190,431",F,20161,5,0,"16,952",TÓPICOS ESPEM ENG DE COMPUTAÇÃOIII,60,APROVADO
"149,399",M,20112,3.4,0,"2,698",LOGICA APLICADA A COMPUTACAO,60,REPROVADO
"107,202",M,20081,7.9,0,"4,236",ALGEBRA LIN GEO ANALITICA,60,DISPENSADO
"119,542",M,20091,3.4,0,"3,817",INTRODUCAO A PROGRAMACAO,60,REPROVADO
"184,549",M,20141,0.3,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,REPROVADO
"171,441",M,20162,null,0,"21,873",MATERIAIS PARA MICRO E NANO TECNOLOGIA,60,MATRICULADO
"175,928",M,20122,9.1,0,"4,250",CALCULO VET GEO ANALITICA,60,APROVADO
"269,818",M,20151,3.5,22,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,REP. FALTA
"255,962",M,20151,7,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,APROVADO
"174,072",M,20141,0,0,"1,639",CALCULO DIFERENCIAL E INTEGRAL II,60,REP. FALTA
"192,006",M,20132,0,0,"7,228",INTRODUÇÃO À COMPUTAÇÃO CIENTÍFICA,60,REP. FALTA
"174,321",M,20142,0,0,"3,828",LINGUAGEM PROGRAMACAO I,60,REP. FALTA
"175,926",M,20122,8.5,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,APROVADO
"109,275",M,20081,7.2,0,"4,247",CALCULO DIFERENCIAL E INTEGRAL II,90,APROVADO
"174,739",M,20161,1.3,10,"2,688",IINTRODUÇÃO A COMPUTAÇÃO GRÁFICA,60,REPROVADO
"250,836",M,20152,10,0,"2,700",METODOS DE PROJETO DE SOFTWARE,60,APROVADO
"249,753",M,20132,7.8,0,"3,817",INTRODUCAO A PROGRAMACAO,60,APROVADO
"265,765",M,20152,2.4,0,"2,698",LOGICA APLICADA A COMPUTACAO,60,REPROVADO
"153,297",M,20112,0,0,"4,250",CALCULO VET GEO ANALITICA,60,REP. FALTA
"171,496",M,20122,2.5,0,"2,704",PESQUISA APLICADA A COMPUTACAO,45,REPROVADO
"185,643",M,20142,8.1,0,"17,076",ELETRONICA APLICADA,90,APROVADO
"154,942",M,20122,4.2,0,"1,665",ESTRUTURA DE DADOS,60,REPROVADO
"268,814",M,20161,7.1,0,"2,688",IINTRODUÇÃO A COMPUTAÇÃO GRÁFICA,60,APROVADO
"276,707",F,20162,null,null,"21,876",MECANICA PARA ENGENHARIA DE COMPUTAÇÃO,60,TRANCADO
"170,035",M,20142,7,0,"2,703",PARADIGMAS DE LING DE PROGRAMAÇÃO,60,APROVADO
"189,953",F,20142,5,0,"1,639",CALCULO DIFERENCIAL E INTEGRAL II,60,APROVADO
"175,585",M,20131,null,0,"2,698",LOGICA APLICADA A COMPUTACAO,60,TRANCADO
"171,345",M,20161,0,0,"3,829",LINGUAGEM PROGRAMACAO II,60,REPROVADO
"107,095",M,20071,null,0,"3,817",INTRODUCAO A PROGRAMACAO,60,TRANCADO
"187,181",M,20131,0,0,"7,228",INTRODUÇÃO À COMPUTAÇÃO CIENTÍFICA,60,REP. FALTA
"173,782",M,20121,8.3,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,APROVADO
"250,415",M,20132,0,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,REP. FALTA
"129,709",M,20121,10,0,"4,372",LINGUA INGLESA I,75,APROVADO
"253,167",F,20132,9,0,"3,516",COMPUTADORES E SOCIEDADE,30,APROVADO
"185,759",M,20141,6,0,"3,828",LINGUAGEM PROGRAMACAO I,60,APROVADO
"184,765",M,20141,null,0,"1,640",INTRODUCAO A ALGEBRA LINEAR,60,TRANCADO
"147,205",M,20072,5.5,0,"4,250",CALCULO VET GEO ANALITICA,60,APROVADO
"184,547",M,20161,7.9,0,"3,846",SISTEMAS OPERACIONAIS I,60,APROVADO
"254,545",M,20151,8.3,0,"1,665",ESTRUTURA DE DADOS,60,APROVADO
"178,249",M,20122,0,0,"4,250",CALCULO VET GEO ANALITICA,60,REP. FALTA
"191,661",M,20131,0,0,"2,699",METODOLOGIA DO TRABALHO CIENTIFICO,45,REP. FALTA
"119,273",M,20122,9,0,"2,725",TRABALHO INDIVIDUAL EM BANCO DE DADOS,60,APROVADO
"154,541",M,20161,null,null,"19,035",SEMINÁRIO TEMI EDUCRELÉTNRACIAIS,45,APROVEITADO
"123,005",M,20092,0,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,REP. FALTA
"171,514",M,20131,2.5,0,"17,740",CÁLCULO  DAS PROBABILIDADES I,60,REPROVADO
"132,953",M,20161,5,16,"1,641",SERIES E EQUACOES DIF ORDINARIAS,60,APROVADO
"154,463",M,20151,null,0,"17,973",ALGEBRA LINEAR COMPUTACIONAL,60,TRANCADO
"259,209",M,20162,null,null,"1,665",ESTRUTURA DE DADOS,60,TRANCADO
"174,372",M,20152,1.2,0,"1,640",INTRODUCAO A ALGEBRA LINEAR,60,REPROVADO
"188,621",M,20142,8.5,0,"1,663",ESPECIFICACAO DE REQUISITOS DE SOFTWARE,60,APROVADO
"282,334",F,20161,0,12,"2,699",METODOLOGIA DO TRABALHO CIENTIFICO,45,REPROVADO
"129,052",F,20102,7,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,APROVADO
"168,876",M,20161,6.5,0,"1,659",BANCO DE DADOS I,60,APROVADO
"184,550",M,20132,0.4,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,REPROVADO
"150,189",M,20151,1.6,0,"2,703",PARADIGMAS DE LING DE PROGRAMAÇÃO,60,REPROVADO
"129,054",M,20142,0,0,"7,036",CALCULO DIF  E INTEGRAL III,60,REP. FALTA
"190,626",M,20142,9.83,0,"1,661",CIRCUITOS LOGICOS,90,APROVADO
"269,554",M,20162,null,null,"4,372",LINGUA INGLESA I,75,MATRICULADO
"154,693",M,20121,7,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,APROVADO
"130,950",M,20102,7,0,"7,035",FISICA APLICADA A COMPUTACAO II,60,APROVADO
"265,355",M,20142,10,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,APROVADO
"150,784",M,20141,0,0,"17,822",SINAIS E SISTEMAS DINAMICOS,90,REP. FALTA
"187,312",M,20141,1,0,"3,817",INTRODUCAO A PROGRAMACAO,60,REPROVADO
"188,621",M,20162,null,null,"21,886",ARQUITETURA DE COMPUTADORES,60,EXCLUIDA
"191,511",M,20132,7.2,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,APROVADO
"279,350",M,20162,null,0,"7,035",FISICA APLICADA A COMPUTACAO II,60,MATRICULADO
"280,117",M,20162,null,null,"21,871",ELETRICIDADE E CIRCUITOS PARA COMPUTAÇÃO I,60,MATRICULADO
"189,788",M,20142,3.47,0,"2,698",LOGICA APLICADA A COMPUTACAO,60,REPROVADO
"250,819",M,20152,7,0,"2,687",INTERACAO HOMEMMAQUINA,60,APROVADO
"111,433",M,20102,9.8,0,954,ADM DE EMPRESAS,75,APROVADO
"268,831",M,20151,7.3,0,"1,638",CALCULO DIFERENCIAL E INTEGRAL I,60,APROVADO
"176,125",M,20121,0,0,"7,228",INTRODUÇÃO À COMPUTAÇÃO CIENTÍFICA,60,REP. FALTA
"270,770",M,20161,0,4,"4,250",CALCULO VET GEO ANALITICA,60,REPROVADO
"149,398",M,20141,5,0,"7,036",CALCULO DIF  E INTEGRAL III,60,APROVADO
"192,362",M,20132,2,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,REPROVADO
"147,427",M,20121,9.2,0,"2,700",METODOS DE PROJETO DE SOFTWARE,60,APROVADO
"168,724",M,20121,0,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,REP. FALTA
"187,177",M,20141,0,0,"7,229",INTROD À MATEMÁTICA COMPUTACINAL,30,REP. FALTA
"279,970",M,20161,8,0,"2,699",METODOLOGIA DO TRABALHO CIENTIFICO,45,APROVADO
"150,375",M,20132,3.2,0,"17,740",CÁLCULO  DAS PROBABILIDADES I,60,REPROVADO
"183,981",M,20142,7,0,"3,829",LINGUAGEM PROGRAMACAO II,60,APROVADO
"250,414",M,20152,9,0,"2,746",LINGUAGEM DE PROGRAMACAO III,60,APROVADO
"282,333",M,20161,null,null,"3,817",INTRODUCAO A PROGRAMACAO,60,EXCLUIDA
"175,095",M,20131,0,0,"2,698",LOGICA APLICADA A COMPUTACAO,60,REP. FALTA
"288,779",M,20162,null,null,"7,036",CALCULO DIF  E INTEGRAL III,60,MATRICULADO
"147,767",F,20111,0,0,"3,818",INTRODUCAO AO COMPUTADOR,60,REP. FALTA
"150,787",M,20151,10,0,"20,088",TRABALHO DE CONCLUSÃO DE CURSO,60,APROVADO
"123,995",M,20132,0,0,"3,817",INTRODUCAO A PROGRAMACAO,60,REP. FALTA
"154,841",M,20122,8,0,"4,372",LINGUA INGLESA I,75,APROVADO
"184,550",M,20141,1.6,0,"4,250",CALCULO VET GEO ANALITICA,60,REPROVADO
"151,028",F,20141,8.2,0,"17,823",AGENTES INTELIGENTES,60,APROVADO
"258,205",M,20152,8.2,0,"7,036",CALCULO DIF  E INTEGRAL III,60,APROVADO
"271,754",M,20152,6.3,0,"4,250",CALCULO VET GEO ANALITICA,60,APROVADO
"175,930",M,20152,7.8,2,"16,949",CONCEPÇÃO ESTRUDE CIRCUIINTEGRADOS,60,APROVADO
"281,114",M,20162,null,null,"7,228",INTRODUÇÃO À COMPUTAÇÃO CIENTÍFICA,60,MATRICULADO
"262,777",M,20142,8,0,"2,704",PESQUISA APLICADA A COMPUTACAO,45,DISPENSADO
"150,605",M,20161,7.5,4,"3,899",ECONOMIA I,60,APROVADO
"268,635",M,20151,null,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,EXCLUIDA
"262,993",F,20162,null,18,"21,884",INTRODUÇÃO A PROGRAMAÇÃO PARA ENGENHARIA DE COMPUTAÇÃO,60,MATRICULADO
"192,204",M,20142,0,0,"3,829",LINGUAGEM PROGRAMACAO II,60,REP. FALTA
"271,587",M,20151,3,0,"7,034",FISICA APLICADA A COMPUTACAO I,60,REPROVADO
"270,249",M,20151,6,20,"7,215",ELETRICE CIRCUITOS PARA COMPUTAÇÃO,90,APROVADO
